网站,品牌,产品名称,规格,原价货币,原价金额,人民币税前,人民币税后,解析雪茄支数,单支人民币税后,链接,对比
Cigar VIU,Arturo Fuente,Arturo Fuente Hemingway Short Story,Box of 25,CHF,337.50,2912.49,4368.74,25,174.75,https://cigarviu.com/products/hemingway-short-story,
Cigar VIU,Arturo Fuente,Arturo Fuente Hemingway Best Seller,Box of 25,CHF,400.00,3451.84,5177.76,25,207.11,https://cigarviu.com/products/hemingway-best-seller,
Cigar VIU,Rafael Gonzalez,Rafael Gonzalez Petit Coronas,默认,CHF,287.50,2481.01,3721.52,,,https://cigarviu.com/products/r-gonzalez-petit-coronas,
Cigar VIU,Davidoff,Davidoff Figurado Selection [6],默认,CHF,180.00,1553.33,2330.00,6,388.33,https://cigarviu.com/products/davidoff-figu-selection-ce-ch0-6s,
Cigar VIU,VegaFina,VegaFina Year of Snake 2025,默认,CHF,172.80,1491.19,2236.78,,,https://cigarviu.com/products/vega-fina-year-of-snake-2025,
Cigar VIU,Saint Luis Rey,Saint Luis Rey Regios,默认,CHF,485.00,4185.36,6278.04,,,https://cigarviu.com/products/saint-luis-rey-regios,
Cigar VIU,Vegueros,Vegueros Centrofinos,Box of 16,CHF,182.40,1574.04,2361.06,16,147.57,https://cigarviu.com/products/vegueros-centrofinos,
Cigar VIU,Romeo y Julieta,Romeo Y Julieta Exhibicion No.4,Box of 25,CHF,542.50,4681.56,7022.34,25,280.89,https://cigarviu.com/products/romeo-exhibicion-no-4,
Cigar VIU,Montecristo,Montecristo Petit Tubos,Box of 25,CHF,507.50,4379.52,6569.28,25,262.77,https://cigarviu.com/products/montecristo-petit-tubos,
Cigar VIU,Montecristo,Montecristo Petit Tubos,Box of 5,CHF,101.50,875.90,1313.85,5,262.77,https://cigarviu.com/products/montecristo-petit-tubos,
Cigar VIU,Romeo y Julieta,Romeo Y Julieta Petit Royales,Box of 25,CHF,357.50,3085.08,4627.62,25,185.10,https://cigarviu.com/products/romeo-petit-royales,
Cigar VIU,Romeo y Julieta,Romeo Y Julieta Petit Royales,A/T Box of 3,CHF,50.40,434.93,652.40,3,217.47,https://cigarviu.com/products/romeo-petit-royales,
Cigar VIU,Cuaba,Cuaba Exclusivos,Box of 25,CHF,407.50,3516.56,5274.84,25,210.99,https://cigarviu.com/products/cuaba-exclusivos,
Cigar VIU,VegaFina,VegaFina Serie 2 Coupage Limited Edition 2024,Box of 12,CHF,153.60,1325.51,1988.26,12,165.69,https://cigarviu.com/products/vegafina-serie-2-coupage-2024,
Cigar VIU,VegaFina,Vegafina Super Robustos Supremo Limited Edition 2024,Box of 12,CHF,120.00,1035.55,1553.32,12,129.44,https://cigarviu.com/products/vegafina-super-robustos-supremo-2024,
Cigar VIU,Ramon Allones,Ramon Allones Small Club Coronas,Box of 25,CHF,285.00,2459.44,3689.16,25,147.57,https://cigarviu.com/products/ramon-allones-small-club-coronas,
Cigar VIU,H.upmann,H.Upmann Connoisseur No.1,Box of 25,CHF,520.00,4487.39,6731.08,25,269.24,https://cigarviu.com/products/h-upmann-connoisseur-no-1,
Cigar VIU,Partagas,Partagas Lusitanias,Box of 10,CHF,500.00,4314.80,6472.20,10,647.22,https://cigarviu.com/products/partagas-lusitanias-25,
Cigar VIU,Vegueros,Vegueros Entretiempos,Box of 4,CHF,40.40,348.64,522.96,4,130.74,https://cigarviu.com/products/vegueros-entretiempos-4,
Cigar VIU,Vegueros,Vegueros Entretiempos,Box of 16,CHF,161.60,1394.54,2091.81,16,130.74,https://cigarviu.com/products/vegueros-entretiempos-4,
Cigar VIU,Romeo y Julieta,Romeo Y Julieta Petit Julietas,Box of 25,CHF,217.50,1876.94,2815.41,25,112.62,https://cigarviu.com/products/romeo-y-julieta-petit-julietas-25,
Cigar VIU,Rafael Gonzalez,Rafael Gonzalez Panetelas Extra,Box of 25,CHF,115.00,992.40,1488.60,25,59.54,https://cigarviu.com/products/rafael-gonzalez-panetelas-extra-25,
Cigar VIU,Montecristo,Montecristo No. 1,Box of 25,CHF,605.00,5220.91,7831.36,25,313.25,https://cigarviu.com/products/montecristo-no-1-25,
Cigar VIU,Juan López,Juan López Selección No.1,Box of 25,CHF,452.50,3904.89,5857.34,25,234.29,https://cigarviu.com/products/juan-lopez-seleccion-no-1-slb-25,
Cigar VIU,Romeo y Julieta,Romeo Y Julieta Petit Churchill,Box of 25,CHF,497.50,4293.23,6439.84,25,257.59,https://cigarviu.com/products/romeo-y-julieta-petit-churchill,
Cigar VIU,Romeo y Julieta,Romeo Y Julieta Petit Churchill,A/T Box of 3,CHF,70.20,605.80,908.70,3,302.90,https://cigarviu.com/products/romeo-y-julieta-petit-churchill,
Cigar VIU,Por Larrañaga,Por Larrañaga Picadores,Box of 25,CHF,427.50,3689.15,5533.72,25,221.35,https://cigarviu.com/products/por-larranaga-picadores,
Cigar VIU,Partagas,Partagas Mille Fleurs,Box of 25,CHF,257.50,2222.12,3333.18,25,133.33,https://cigarviu.com/products/partagas-mille-fleurs-25,
Cigar VIU,Partagas,Partagas Mille Fleurs,Box of 10,CHF,103.00,888.85,1333.28,10,133.33,https://cigarviu.com/products/partagas-mille-fleurs-25,
Cigar VIU,Hoyo,Hoyo de Monterrey Epicure Especial,AT Box of 3,CHF,89.70,774.08,1161.12,3,387.04,https://cigarviu.com/products/hoyo-de-monterrey-epicure-especial-slb,
Cigar VIU,Partagas,Partagas Aristocrats,Box of 25,CHF,225.00,1941.66,2912.49,25,116.50,https://cigarviu.com/products/partagas-aristocrats,
Cigar VIU,Hoyo,Hoyo de Monterrey Le Hoyo de Rio Seco,Box of 10,CHF,294.00,2537.10,3805.65,10,380.56,https://cigarviu.com/products/le-hoyo-de-rio-seco-slb,
Cigar VIU,Hoyo,Hoyo de Monterrey Le Hoyo de Rio Seco,Tubos / Box of 3,CHF,98.10,846.56,1269.84,3,423.28,https://cigarviu.com/products/le-hoyo-de-rio-seco-slb,
Cigar VIU,H.upmann,H.Upmann Magnum 54,Tubos / Box of 3,CHF,82.80,714.53,1071.80,3,357.27,https://cigarviu.com/products/h-upmann-magnum-54-slb,
Cigar VIU,Diplomaticos,Diplomaticos El Emisario Edicion Regional Suiza,Box of 10,CHF,380.00,3279.25,4918.88,10,491.89,https://cigarviu.com/products/diplomaticos-el-emisario,
Cigar VIU,Quintero,Quintero Panetelas,Box of 25,CHF,95.00,819.81,1229.72,25,49.19,https://cigarviu.com/products/quintero-panetelas,
Cigar VIU,VegaFina,VegaFina Year of the Dragon 2024,Box of 16,CHF,248.00,2140.14,3210.21,16,200.64,https://cigarviu.com/products/vegafina-year-of-the-dragon-2024-16,
Cigar VIU,Jose L. Piedra,Jose L. Piedra Petit Cazadores,Box of 12,CHF,39.60,341.73,512.60,12,42.72,https://cigarviu.com/products/jose-l-piedra-petit-cazadores-12,
Cigar VIU,Jose L. Piedra,Jose L. Piedra Petit Cazadores,Box of 5,CHF,16.50,142.39,213.58,5,42.72,https://cigarviu.com/products/jose-l-piedra-petit-cazadores-12,
Cigar VIU,Jose L. Piedra,Jose L. Piedra Brevas,Box of 12,CHF,50.40,434.93,652.40,12,54.37,https://cigarviu.com/products/jose-l-piedra-brevas-12,
Cigar VIU,Hoyo,Hoyo de Monterrey Flor Extrafina Petit Robustos,Box of 25,CHF,505.00,4357.95,6536.92,25,261.48,https://cigarviu.com/products/hoyo-de-m-petit-robusto-3,
Cigar VIU,Hoyo,Hoyo de Monterrey Flor Extrafina Petit Robustos,Box of 3,CHF,60.60,522.95,784.42,3,261.47,https://cigarviu.com/products/hoyo-de-m-petit-robusto-3,
Cigar VIU,H.upmann,H.Upmann No.2,Box of 25,CHF,660.00,5695.54,8543.31,25,341.73,https://cigarviu.com/products/h-upmann-no-2-25,
Cigar VIU,VegaFina,VegaFina 1998 42L,Box of 25,CHF,230.00,1984.81,2977.22,25,119.09,https://cigarviu.com/products/vegafina-1998-42l-25,
Cigar VIU,Cuaba,Cuaba Divinos,Box of 25,CHF,257.50,2222.12,3333.18,25,133.33,https://cigarviu.com/products/cuaba-divinos-25,
Cigar VIU,Montecristo,Montecristo Double Edmundo,Box of 10,CHF,332.00,2865.03,4297.54,10,429.75,https://cigarviu.com/products/montecristo-double-edmundo-10,
Cigar VIU,Montecristo,Montecristo Double Edmundo,Box of 3,CHF,99.60,859.51,1289.26,3,429.75,https://cigarviu.com/products/montecristo-double-edmundo-10,
Cigar VIU,Hoyo,Hoyo de Monterrey Monterreyes No. 4 Limited Edition 2021,Box of 10,CHF,850.00,7335.16,11002.74,10,1100.27,https://cigarviu.com/products/hoyo-de-m-monterreyes-no-4-10,
Cigar VIU,Ramon Allones,Ramon Allones Allones No. 3,Box of 10,CHF,296.00,2554.36,3831.54,10,383.15,https://cigarviu.com/products/r-allones-allones-no-3-10,
Cigar VIU,Rafael Gonzalez,Rafael Gonzalez Perlas,Box of 25,CHF,192.50,1661.20,2491.80,25,99.67,https://cigarviu.com/products/r-gonzalez-perlas-25,
Cigar VIU,Montecristo,Montecristo Open Regata,Box of 20,CHF,400.00,3451.84,5177.76,20,258.89,https://cigarviu.com/products/montecristo-open-regata-20,
Cigar VIU,Diplomaticos,Diplomaticos No. 2,Box of 25,CHF,620.00,5350.35,8025.52,25,321.02,https://cigarviu.com/products/diplomaticos-no-2-25,
Cigar VIU,Punch,Punch Short de Punch,Box of 10,CHF,183.00,1579.22,2368.83,10,236.88,https://cigarviu.com/products/punch-short-de-punch-10,
Cigar VIU,Montecristo,Montecristo Open Junior,Box of 20,CHF,298.00,2571.62,3857.43,20,192.87,https://cigarviu.com/products/montecristo-open-junior-20,
Cigar VIU,Montecristo,Montecristo Open Junior,Tubos/ Box of 3,CHF,54.60,471.18,706.77,3,235.59,https://cigarviu.com/products/montecristo-open-junior-20,
Cigar VIU,Flor de Copán,Flor de Copán Monarcas,Box of 14,CHF,177.80,1534.34,2301.51,14,164.39,https://cigarviu.com/products/flor-de-copan-monarcas-tube-14,
Cigar VIU,Flor de Copán,Flor de Copán Gordito,Box of 20,CHF,164.00,1415.25,2122.88,20,106.14,https://cigarviu.com/products/flor-de-copan-gordito-20,
Cigar VIU,Flor de Copán,Flor de Copán Churchill,Box of 20,CHF,204.00,1760.44,2640.66,20,132.03,https://cigarviu.com/products/flor-de-copan-churchill-20,
Cigar VIU,Cuaba,Cuaba Distinguidos,Box of 10,CHF,276.00,2381.77,3572.66,10,357.27,https://cigarviu.com/products/cuaba-distinguidos-10,
Cigar VIU,Cohiba,Cohiba Medio Siglo,Tubos / Box of 3,CHF,221.70,1913.18,2869.77,3,956.59,https://cigarviu.com/products/cohiba-medio-siglo-slb-25,
Cigar VIU,Vegueros,Vegueros Tapados,Box of 4,CHF,38.00,327.92,491.88,4,122.97,https://cigarviu.com/products/vegueros-tapados-4,
Cigar VIU,Vegueros,Vegueros Tapados,Box of 16,CHF,152.00,1311.70,1967.55,16,122.97,https://cigarviu.com/products/vegueros-tapados-4,
Cigar VIU,Cohiba,Cohiba Wide Short,默认,CHF,23.40,201.93,302.90,,,https://cigarviu.com/products/cohiba-wide-short-single-pieces,
Cigar VIU,Flor de Copán,Flor de Copán Maduro Churchill,Box of 20,CHF,200.00,1725.92,2588.88,20,129.44,https://cigarviu.com/products/flor-de-copan-maduro-churchill,
Cigar VIU,Flor de Copán,Flor de Copan Linea Puros Robusto,Box of 20,CHF,224.00,1933.03,2899.54,20,144.98,https://cigarviu.com/products/flor-de-copan-linea-puros-robusto-20,
Cigar VIU,Flor de Copán,Flor de Copán Rotschild,Box of 20,CHF,160.00,1380.74,2071.11,20,103.56,https://cigarviu.com/products/flor-de-copan-rotschild-20,
Cigar VIU,Intertabak AG,Book El Mundo Del Habano EN,默认,CHF,40.00,345.18,517.77,,,https://cigarviu.com/products/book-el-mundo-del-habano-en,
Cigar VIU,Intertabak AG,Book El Mundo Del Habano FR,默认,CHF,40.00,345.18,517.77,,,https://cigarviu.com/products/book-el-mundo-del-habano-fr,
Cigar VIU,Punch,Siglo Punch Cutter Gun Metal,默认,CHF,39.00,336.55,504.82,,,https://cigarviu.com/products/punch-cutter-en-meta,
Cigar VIU,Punch,Siglo Punch Cutter Silver,默认,CHF,39.00,336.55,504.82,,,https://cigarviu.com/products/punch-cutter-argent,
Cigar VIU,Trinidad,Trinidad Short,默认,CHF,18.50,159.65,239.48,,,https://cigarviu.com/products/copy-of-trinidad-short-10x10,
Cigar VIU,Partagas,Partagas Serie Puritos,默认,CHF,8.20,70.76,106.14,,,https://cigarviu.com/products/copy-of-partagas-serie-puritos-10x5,
Cigar VIU,Partagas,Partagas Serie Club,默认,CHF,19.00,163.96,245.94,,,https://cigarviu.com/products/copy-of-partagas-serie-club-5x20,
Cigar VIU,Partagas,Partagas Mini,默认,CHF,15.00,129.44,194.16,,,https://cigarviu.com/products/copy-of-partagas-mini-5x20,
Cigar VIU,Partagas,Partagas Club,默认,CHF,18.50,159.65,239.48,,,https://cigarviu.com/products/copy-of-partagas-club-5x20,
Cigar VIU,Romeo y Julieta,Romeo Y Julieta Club,默认,CHF,17.90,154.47,231.70,,,https://cigarviu.com/products/copy-of-romeo-y-julieta-club-5x20,
Cigar VIU,Montecristo,Montecristo Short,默认,CHF,15.30,132.03,198.04,,,https://cigarviu.com/products/copy-of-montecristo-short-10x10,
Cigar VIU,Montecristo,Montecristo Puritos,默认,CHF,9.40,81.12,121.68,,,https://cigarviu.com/products/copy-of-montecristo-puritos-cello-10x5,
Cigar VIU,Montecristo,Montecristo Open Club,默认,CHF,20.50,176.91,265.36,,,https://cigarviu.com/products/copy-of-montecristo-open-club-5x20,
Cigar VIU,Cohiba,Cohiba Mini White,默认,CHF,20.80,179.50,269.25,,,https://cigarviu.com/products/copy-of-cohiba-mini-white-5x20,
Cigar VIU,Cohiba,Cohiba Mini,默认,CHF,20.80,179.50,269.25,,,https://cigarviu.com/products/copy-of-cohiba-mini-5x20,
Cigar VIU,Cohiba,Cohiba Club,默认,CHF,26.50,228.68,343.02,,,https://cigarviu.com/products/copy-of-cohiba-club-5x20,
Cigar VIU,Guantanamera,Guantanamera Puritos,默认,CHF,5.25,45.31,67.96,,,https://cigarviu.com/products/copy-of-guantanamera-puritos-cello-10x5,
Cigar VIU,Guantanamera,Guantanamera Mini,默认,CHF,8.50,73.35,110.02,,,https://cigarviu.com/products/copy-of-guantanamera-mini-5x20,
Cigar VIU,Cohiba,Cohiba Club White,默认,CHF,26.50,228.68,343.02,,,https://cigarviu.com/products/copy-of-cohiba-club-white-5x20,
Cigar VIU,VegaFina,VegaFina Torpedos Year Of the Rabbit 2023,Box of 16,CHF,240.00,2071.10,3106.65,16,194.17,https://cigarviu.com/products/vegafina-torpedos-year-of-the-rabbit-2023-16,
Cigar VIU,VegaFina,VegaFina 1998 56,Box of 25,CHF,242.50,2092.68,3139.02,25,125.56,https://cigarviu.com/products/vegafina-1998-56-25,
Cigar VIU,VegaFina,VegaFina 1998 54,Box of 25,CHF,265.00,2286.84,3430.26,25,137.21,https://cigarviu.com/products/vegafina-1998-54-25,
Cigar VIU,VegaFina,VegaFina 1998 52,Box of 25,CHF,235.00,2027.96,3041.94,25,121.68,https://cigarviu.com/products/vegafina-1998-52-25,
Cigar VIU,VegaFina,VegaFina 1998 50,Box of 25,CHF,215.00,1855.36,2783.04,25,111.32,https://cigarviu.com/products/vegafina-1998-50-25,
Cigar VIU,VegaFina,VegaFina Nicaragua Vulcano,Box of 10,CHF,100.00,862.96,1294.44,10,129.44,https://cigarviu.com/products/vegafina-nicaragua-vulcano-10,
Cigar VIU,VegaFina,VegaFina Nicaragua Short,Box of 25,CHF,125.00,1078.70,1618.05,25,64.72,https://cigarviu.com/products/vegafina-nicaragua-short-25,
Cigar VIU,VegaFina,VegaFina Nicaragua Robusto,Box of 25,CHF,217.50,1876.94,2815.41,25,112.62,https://cigarviu.com/products/vegafina-nicaragua-robusto-25,
Cigar VIU,VegaFina,VegaFina Nicaragua Gran Toro,Box of 25,CHF,255.00,2200.55,3300.82,25,132.03,https://cigarviu.com/products/vegafina-nicaragua-gran-toro-25,
Cigar VIU,VegaFina,VegaFina Short Robusto,Box of 25,CHF,155.00,1337.59,2006.38,25,80.26,https://cigarviu.com/products/vegafina-short-robusto-25,
Cigar VIU,VegaFina,VegaFina Prominentes,Box of 25,CHF,255.00,2200.55,3300.82,25,132.03,https://cigarviu.com/products/vegafina-prominentes-25,
Cigar VIU,VegaFina,VegaFina Perlas,Box of 25,CHF,112.50,970.83,1456.24,25,58.25,https://cigarviu.com/products/vegafina-perlas-25,
Cigar VIU,VegaFina,VegaFina Minutos,Box of 25,CHF,77.50,668.79,1003.18,25,40.13,https://cigarviu.com/products/vegafina-minutos-25,
Cigar VIU,VegaFina,VegaFina Coronita,Box of 25,CHF,142.50,1229.72,1844.58,25,73.78,https://cigarviu.com/products/vegafina-coronita-25,
Cigar VIU,VegaFina,VegaFina Corona,Box of 25,CHF,155.00,1337.59,2006.38,25,80.26,https://cigarviu.com/products/vegafina-corona-25,
Cigar VIU,Montecristo,Montecristo Puritos,默认,CHF,47.00,405.59,608.38,,,https://cigarviu.com/products/montecristo-puritos-cello-25,
Cigar VIU,Guantanamera,Guantanamera Minutos,默认,CHF,38.00,327.92,491.88,,,https://cigarviu.com/products/guantanamera-minutos-cello-20,
Cigar VIU,Guantanamera,Guantanamera Decimos,Box of 10,CHF,20.00,172.59,258.88,10,25.89,https://cigarviu.com/products/guantanamera-decimos-cello-10,
Cigar VIU,Vegueros,Vegueros Centrogordos,Box of 4,CHF,40.40,348.64,522.96,4,130.74,https://cigarviu.com/products/vegueros-centrogordos-16,
Cigar VIU,Montecristo,Montecristo Wide Edmundo,Box of 10,CHF,297.00,2562.99,3844.48,10,384.45,https://cigarviu.com/products/montecristo-wide-edmundo-sbn-10,
Cigar VIU,Punch,Punch Punch,Box of 25,CHF,560.00,4832.58,7248.87,25,289.95,https://cigarviu.com/products/punch-punch-25,
Cigar VIU,Montecristo,Montecristo Petit Edmundo,Box of 25,CHF,630.00,5436.65,8154.98,25,326.20,https://cigarviu.com/products/montecristo-petit-edmundo-sbn-25,
Cigar VIU,Montecristo,Montecristo Petit Edmundo,Box of 10,CHF,252.00,2174.66,3261.99,10,326.20,https://cigarviu.com/products/montecristo-petit-edmundo-sbn-25,
Cigar VIU,Montecristo,Montecristo Petit Edmundo,Tubos / Box of 3,CHF,91.20,787.02,1180.53,3,393.51,https://cigarviu.com/products/montecristo-petit-edmundo-sbn-25,
Cigar VIU,H.upmann,H.Upmann Magnum 46,Tubos / Box of 3,CHF,89.70,774.08,1161.12,3,387.04,https://cigarviu.com/products/h-upmann-magnum-46-a-t-3,
Cigar VIU,Cohiba,Cohiba Siglo 3,Box of 5,CHF,287.50,2481.01,3721.52,5,744.30,https://cigarviu.com/products/cohiba-siglo-3-5,
Cigar VIU,Vegueros,Vegueros Mañanitas,Box of 16,CHF,112.00,966.52,1449.78,16,90.61,https://cigarviu.com/products/vegueros-mananitas-4,
Cigar VIU,Vegueros,Vegueros Mañanitas,Box of 4,CHF,28.00,241.63,362.44,4,90.61,https://cigarviu.com/products/vegueros-mananitas-4,
Cigar VIU,Vegas Robaina,Vegas Robaina Famosos,Box of 25,CHF,465.00,4012.76,6019.14,25,240.77,https://cigarviu.com/products/vegas-robaina-famosos-25,
Cigar VIU,Trinidad,Trinidad Topes,Box of 12,CHF,804.00,6938.20,10407.30,12,867.28,https://cigarviu.com/products/trinidad-topes-sbn-12,
Cigar VIU,Trinidad,Trinidad Media Luna,Box of 12,CHF,562.80,4856.74,7285.11,12,607.09,https://cigarviu.com/products/trinidad-media-luna-sbn-12,
Cigar VIU,Romeo y Julieta,Romeo Y Julieta Wide Churchill,Box of 25,CHF,680.00,5868.13,8802.20,25,352.09,https://cigarviu.com/products/romeo-wide-churchills-25,
Cigar VIU,Romeo y Julieta,Romeo Y Julieta Churchill,Tubos / Box of 3,CHF,128.40,1108.04,1662.06,3,554.02,https://cigarviu.com/products/romeo-churchill-25,
Cigar VIU,Quintero,Quintero Brevas,Box of 25,CHF,95.00,819.81,1229.72,25,49.19,https://cigarviu.com/products/quintero-brevas-25,
Cigar VIU,Por Larrañaga,Por Larrañaga Galanes,Box of 10,CHF,124.00,1070.07,1605.10,10,160.51,https://cigarviu.com/products/p-larranaga-galanes-10,
Cigar VIU,Partagas,Partagas Serie D No. 5,Box of 25,CHF,562.50,4854.15,7281.22,25,291.25,https://cigarviu.com/products/partagas-serie-d-no-5-25,
Cigar VIU,Partagas,Partagas Serie D No. 5,Box of 3 A/T,CHF,77.70,670.52,1005.78,3,335.26,https://cigarviu.com/products/partagas-serie-d-no-5-25,
Cigar VIU,Montecristo,Montecristo Edmundo,Box of 25,CHF,727.50,6278.03,9417.04,25,376.68,https://cigarviu.com/products/montecristo-edmundo-sbn-25,
Cigar VIU,Montecristo,Montecristo Edmundo,Box of 3,CHF,87.30,753.36,1130.04,3,376.68,https://cigarviu.com/products/montecristo-edmundo-sbn-25,
Cigar VIU,Montecristo,Montecristo Edmundo,Box of 3 / Tubos,CHF,100.20,864.69,1297.04,3,432.35,https://cigarviu.com/products/montecristo-edmundo-sbn-25,
Cigar VIU,Montecristo,Montecristo Petit No. 2,Box of 25,CHF,580.00,5005.17,7507.76,25,300.31,https://cigarviu.com/products/montecristo-petit-no-2-25,
Cigar VIU,Montecristo,Montecristo Petit No. 2,Box of 10,CHF,232.00,2002.07,3003.10,10,300.31,https://cigarviu.com/products/montecristo-petit-no-2-25,
Cigar VIU,Montecristo,Montecristo Petit No. 2,A/T [3],CHF,80.40,693.82,1040.73,3,346.91,https://cigarviu.com/products/montecristo-petit-no-2-25,
Cigar VIU,Montecristo,Montecristo No. 2,Box of 25,CHF,757.50,6536.92,9805.38,25,392.22,https://cigarviu.com/products/montecristo-no-2-25,
Cigar VIU,Montecristo,Montecristo No. 2,Box of 10,CHF,303.00,2614.77,3922.16,10,392.22,https://cigarviu.com/products/montecristo-no-2-25,
Cigar VIU,Montecristo,Montecristo No. 2,Box of 3,CHF,90.90,784.43,1176.64,3,392.21,https://cigarviu.com/products/montecristo-no-2-25,
Cigar VIU,Montecristo,Montecristo Medias Coronas,Box of 25,CHF,275.00,2373.14,3559.71,25,142.39,https://cigarviu.com/products/montecristo-medias-coronas-25,
Cigar VIU,Montecristo,Montecristo Especial No. 2,Box of 25,CHF,577.50,4983.59,7475.38,25,299.02,https://cigarviu.com/products/montecristo-especial-no-2-sbn-25,
Cigar VIU,Jose L. Piedra,Jose L. Piedra Petit Caballeros,Box of 12,CHF,58.80,507.42,761.13,12,63.43,https://cigarviu.com/products/jose-l-piedra-petit-caballeros-3,
Cigar VIU,Jose L. Piedra,Jose L. Piedra Petit Caballeros,Box of 3,CHF,14.70,126.86,190.29,3,63.43,https://cigarviu.com/products/jose-l-piedra-petit-caballeros-3,
Cigar VIU,Jose L. Piedra,Jose L. Piedra Conservas,Box of 12,CHF,57.60,497.06,745.59,12,62.13,https://cigarviu.com/products/jose-l-piedra-conservas-5,
